,
N° de la déclaration de cession ,Reliquat disponible sur la source justifiant le stock évalué
EXTC-2020/952924,2553.50
EXTC-2020/952925,1583.00
EXTC-2020/952927,5791.50
EXTC-2020/952996,669.50
EXTC-2020/953202,523.50
EXTC-2020/953205,594.00
EXTC-2020/953208,857.50
EXTC-2020/953340,917.00
EXTC-2020/953357,579.00
EXTC-2020/953364,4202.00
EXTC-2020/953366,853.00
EXTC-2020/953367,2864.00
EXTC-2020/953368,2241.00
EXTC-2020/953370,287.50
EXTC-2020/953371,678.00
EXTC-2020/953582,1190.00
EXTC-2020/953615,173.00
EXTC-2020/953652,2115.00
EXTC-2020/953687,518.50
EXTC-2020/953756,3381.00
EXTC-2020/953767,976.50
EXTC-2020/953778,443.50
EXTC-2020/953853,2317.00
EXTC-2020/953921,2356.50
EXTC-2020/953924,1790.00
EXTC-2020/953965,348.00
EXTC-2020/953990,896.00
EXTC-2020/954034,600.00
EXTC-2020/954064,1208.00
EXTC-2020/954065,1095.00
EXTC-2020/954066,2080.00
EXTC-2020/954123,2584.50
EXTC-2020/954124,1000.00
EXTC-2020/954125,321.00
EXTC-2020/954177,1000.00
EXTC-2020/954182,1738.50
EXTC-2020/954479,840.50
EXTC-2020/954480,174.50
EXTC-2020/954481,805.00
EXTC-2020/954482,1000.00
EXTC-2020/954483,1148.50
EXTC-2020/954485,1892.00
EXTC-2020/954486,1330.50
EXTC-2020/954487,2192.00
EXTC-2020/954488,1186.00
EXTC-2020/954490,1226.00
EXTC-2020/954685,912.50
EXTC-2020/954695,780.00
EXTC-2020/954756,404.00
EXTC-2020/955132,1000.00
EXTC-2020/955149,968.00
EXTC-2020/955153,820.50
EXTC-2020/955156,129.50
EXTC-2020/955158,935.00
EXTC-2020/955197,145.50
EXTC-2020/955221,634.00
EXTC-2020/955223,1244.00
EXTC-2020/955230,1016.00
EXTC-2020/955232,297.50
EXTC-2020/955234,117.50
EXTC-2020/955237,151.00
EXTC-2020/955241,541.00
EXTC-2020/955242,700.00
EXTC-2020/955243,1481.00
EXTC-2020/955244,587.00
EXTC-2020/955436,178.50
EXTC-2020/955565,4060.00
EXTC-2020/955566,2590.00
EXTC-2020/955577,1500.00
EXTC-2020/955578,1829.50
EXTC-2020/955579,2426.00
EXTC-2020/955580,1658.00
EXTC-2020/955581,1158.00
EXTC-2020/955584,2080.00
EXTC-2020/955668,501.50
EXTC-2020/955672,2028.50
EXTC-2020/955761,4852.50
EXTC-2020/955763,18.00
EXTC-2020/955764,2003.00
EXTC-2020/955765,1301.50
EXTC-2020/955767,3360.00
EXTC-2020/955768,630.00
EXTC-2020/955770,2701.50
EXTC-2020/955778,76.00
EXTC-2020/955780,23.50
EXTC-2020/955930,1390.00
EXTC-2020/955932,992.00
EXTC-2020/955934,3818.00
EXTC-2020/955937,500.00
EXTC-2020/955938,2700.00
EXTC-2020/955939,2800.00
EXTC-2020/955940,721.00
EXTC-2020/955948,401.50
EXTC-2020/955989,46.50
EXTC-2020/956203,31.50
EXTC-2020/956204,57.50
EXTC-2020/956217,314.00
EXTC-2020/956218,2700.00
EXTC-2020/956219,500.00
EXTC-2020/956220,2800.00
EXTC-2020/956221,2590.00
EXTC-2020/956222,916.50
EXTC-2020/956223,1505.50
EXTC-2020/956224,1492.00
EXTC-2020/956352,3150.00
EXTC-2020/956353,1553.50
EXTC-2020/956354,4830.00
EXTC-2020/956355,2730.00
EXTC-2020/956356,1600.00
EXTC-2020/956357,3710.00
EXTC-2020/956358,1075.50
EXTC-2020/956359,1279.00
EXTC-2020/956361,788.50
EXTC-2020/956365,2763.50
EXTC-2020/956367,147.00
EXTC-2020/956368,600.00
EXTC-2020/956369,1614.00
EXTC-2020/956448,2312.00
EXTC-2020/956741,781.00
EXTC-2020/956742,3075.00
EXTC-2020/956743,2492.50
EXTC-2020/956744,1180.00
EXTC-2020/956745,200.00
EXTC-2020/956836,209.50
EXTC-2020/956837,416.50
EXTC-2020/956838,292.50
EXTC-2020/956839,1500.00
EXTC-2020/956840,151.50
EXTC-2020/956841,72.00
EXTC-2020/956895,352.00
EXTC-2020/956897,126.50
EXTC-2020/957244,241.00
EXTC-2020/957248,1179.50
EXTC-2020/957261,133.00
EXTC-2020/957263,67.00
EXTC-2020/957265,38.00
EXTC-2020/957267,1963.00
EXTC-2020/957269,486.00
EXTC-2020/957270,166.00
EXTC-2020/957271,1370.00
EXTC-2020/957272,594.50
EXTC-2020/957274,210.00
EXTC-2020/957694,262.00
EXTC-2020/957698,2187.50
EXTC-2020/957699,373.00
EXTC-2020/957718,309.50
EXTC-2020/957722,64.50
EXTC-2020/957723,47.50
EXTC-2020/957724,463.50
EXTC-2020/957785,176.50
EXTC-2020/957787,1504.00
EXTC-2020/957788,68.50
EXTC-2020/957789,1063.50
EXTC-2020/957981,2181.00
EXTC-2020/957982,1552.50
EXTC-2020/957984,303.00
